GSM107847 GSM107848 GSM107849 GSM107851 GSM107852 GSM107853 GSM107854 GSM107855 GSM107856 GSM107857 GSM107858 GSM107859 GSM107860 GSM107861 GSM107862 GSM107863 GSM107864 GSM107865 GSM107866 GSM107867
MAPK1 7.94683688381305 7.92799380988599 8.04966458980552 7.78544622699233 7.77261787734596 8.09265745892681 8.03211876309198 8.16615051547999 8.01526000469666 7.99008926963154 8.02775251714023 7.96442984216246 7.78153419990545 7.86196870552368 7.83948421924995 7.49595777498281 7.62727638323407 7.94924600050308 7.22807208070336 7.64379896720282
ADAM32 5.97841474402571 6.24562458993467 5.7680357301471 6.01422225736281 6.02092952023901 5.83678544969822 5.98467680725976 5.86182420199449 5.880363257692 5.95794681339438 5.99695304687132 6.02579280575258 5.88502941419335 5.78518922234289 5.99964565787477 5.91495716237163 6.02146666126239 5.94621491328103 5.71348345730542 5.97047917015229
SPATA17 6.26161264986171 6.16640703479314 6.16783814412474 6.13934804350076 6.10951195217663 6.28392405205397 6.26479132378006 6.24900963005524 6.35089328592251 6.19200027549832 6.21585991640482 6.28165353484807 6.22091983918802 6.23024854696905 6.22628147981475 6.0892331307533 6.15158331024004 6.3517607076585 6.26143796442131 6.08855935201845
PRR22 6.41136124982509 6.3988749611561 6.41621316311958 6.34351939339752 6.42805118347884 6.34310073783551 6.16620363175221 6.43476296399894 6.45552623564775 6.32869822150701 6.45190290508505 6.4844397815528 6.36556652278864 6.40389852883382 6.28057079829661 6.28138525986583 6.40279309416506 6.44297481466224 6.21224416628537 6.49205633470658
PXK 6.81702679993832 6.96276766325666 6.85410293588987 6.83875063607383 6.80731698775421 6.82543107907385 6.83027824730539 6.95415112997137 7.19080056380146 7.17311236303506 6.99197988794984 7.53568598652646 7.25877250063606 7.40541663279003 7.34327863131125 7.50393962718518 7.31374385652748 7.56150893127065 7.31182419740516 7.32629057984051
VPS18 6.75481185200211 6.66021833777385 6.6479225140649 6.71227277093796 6.66491344449271 6.66668583011976 6.64942084839567 6.64972619486377 6.70547587902675 6.57551103645304 6.70186381642485 6.45493748496768 6.49003841494937 6.6748663983336 6.70107316592374 6.64365316505772 6.62022682138362 6.58550911817257 6.59439561402216 6.65397638174331
C9orf30 7.41521959704578 7.37691169329238 7.51773665180073 7.26083442654501 7.28853122087093 7.39331853497949 7.51560660691308 7.51954771940499 7.42538879498096 7.46332777486395 7.36832307917147 7.50839647589661 7.27161025282253 7.40945462421556 7.42549436046207 7.29441349632236 7.41972181457072 7.33060554371197 7.2854174316334 7.42465493897376
SLC46A1 6.26802202692789 6.32470587676563 6.42119305634729 6.23239622740348 6.50897762189248 6.41395375406269 6.32909950054144 6.27637570991245 6.40839050815642 6.31076970895603 6.30289980484768 6.36240524520102 6.33868357076479 6.23497128882423 6.40907241354558 6.48936306717689 6.52843750787794 6.22791075675889 6.35997864229248 6.45759783182177
TIMD4 5.79405191624689 5.84990136355271 5.8630241475117 5.9397971766427 5.84836112172636 5.91223584603365 5.90406791566238 5.64493350320293 5.85039563968106 5.98455570327682 5.80886949640286 5.79879309508531 5.85929099718149 6.02252291402038 5.7388651106864 5.81584622495054 5.85095621593295 5.85981009986147 5.9143977186267 5.85213205285992
SLC39A5 6.85146281257235 6.74470456233678 6.73682761404677 6.87824349952249 6.8367619503626 6.68268577963674 6.74499644138638 6.78578270176764 6.80420524823836 6.7219015871016 6.85411290393742 6.79567354846652 6.82328895768339 6.73089787185554 6.77808362265854 6.76115765646729 6.61213190400506 6.71064455105191 6.78821683233233 6.72714263033166
ZDHHC11 6.47544081399657 6.57045664109016 6.44204430101018 6.37589843879014 6.60519161379813 6.49002437979167 6.55909420555392 6.4432191552974 6.62745696426853 6.58072488168121 6.8405298411878 6.5259561925083 6.43074280076099 6.56360877212981 6.44727993608982 6.54511610521451 6.60202925708593 6.39335278631622 6.37008198388507 6.57436245051078
ATP6V1E2 6.93637951823095 6.85942936399059 6.75850435904501 6.86580215355869 6.79378190590563 6.68906659899593 6.96883137786254 6.70256681252133 7.21452128731275 7.05253587964371 7.19776695339023 7.06334062818503 6.82574931708625 6.87368488416138 7.18444082620595 6.88778815272227 6.90292453857696 6.91648051172441 7.00719679146076 6.8584613601202
AFG3L1P 6.22757224080636 6.46488547579465 6.45734768601775 6.41305167838798 6.35170406305993 6.27819872146998 6.33144489055162 6.48739690590596 6.26813026956233 6.22669919932946 6.43141844325731 6.31737933419462 6.24445816577109 6.56360877212981 6.37555377763672 6.34637533457392 6.34075603639036 6.31433081677774 6.31024806292644 6.4817369436666
CILP2 6.16229799950027 6.14944689226609 6.13703919061547 6.11168133128332 6.17489306147773 6.17625356710865 6.24615409975794 6.08092429690166 5.95990962015284 6.03544755286082 6.04021922273618 6.16164364878812 6.07521539253718 6.15649947653987 6.25956295871626 6.1252676443321 6.27324742541413 6.06631611348194 6.10017728567685 6.25785687659421
PIGX 7.66132698000889 8.0787469977896 7.65762032864221 7.69028847444163 7.66521946539625 8.03193255509076 8.22697053800943 8.17518215846218 8.31316164407573 8.26433085263387 8.00052588640971 8.39800858903043 8.41908012256547 8.31484198997268 7.85934071228188 7.92246070923771 7.99799481505183 8.29626511013282 7.61358576302389 8.24180055280863
TMEM196 5.93151168342112 5.9664994432686 5.92671393107444 6.07208459306642 5.89455911534438 5.84402923161388 6.04409055411469 5.89569603388747 5.88561476038102 5.9910034844805 5.9435935939754 5.91199377936784 5.96815749038175 5.85990654706697 5.95015833791629 5.96416202442055 5.8845920680233 5.88377059292382 5.90274560528099 5.87054454884475
SLC39A13 7.09688409446913 6.98677182801726 6.83893242238194 6.94353762151934 6.98821306303126 6.90623943937513 6.88179942750079 7.03344523332957 7.17833864651443 6.94978776489128 6.96274024198978 7.01024767261706 6.90012032474589 7.12986569227957 7.00401226924686 7.01367041277413 6.90754678831274 6.97351862184629 6.7876696004802 6.83966758824932
BEST4 5.70720662823875 5.77615630824127 5.97358842932608 5.86132294993497 5.79501159793235 5.70154322486964 6.20255892555944 5.86182420199449 5.880363257692 5.90320989439991 5.80886949640286 6.07346768445107 5.88502941419335 5.78518922234289 5.76716922407058 5.78996686173593 5.89062696466554 5.92509398508176 5.68235337146469 5.90064194108847
AKD1 5.95347625211049 6.15154609496064 6.13455906237264 6.03820121188518 6.31427329493436 6.13855664444865 5.93144103360169 6.01051663008376 6.07432960757649 6.03634496762873 6.12349249338088 6.08901552990731 6.20413054417087 6.06564022509627 6.13612392960187 6.13650025381173 5.96683871669193 6.04741639964021 6.1142402696443 6.05862903954829
CORO6 6.16377412656031 6.40089883962953 6.37915390250221 6.31831058513501 6.13266533893371 6.27819872146998 6.24681266641643 6.03056055295739 6.10002691671283 6.18141307713951 6.16332060643757 6.19339732221287 6.32188145428812 6.06564022509627 6.06949800907416 6.1968324012754 6.20573881443789 6.10489616995216 6.33046968292795 6.22025032275998
TMEM106A 5.91987481454132 5.89237459910194 5.97949640627251 5.90103429532328 6.08627462948524 5.96851141360915 6.00691314744161 6.13954402252176 5.98783507573319 6.03274859084834 6.06420736325514 6.02191867761193 6.0055382496424 6.03386098031561 6.08085763426188 5.98636940785386 6.06334988334902 6.09981842526974 5.96326707000734 6.00438096995673
ALG10 6.14579884603572 6.04348362257834 6.09264767314567 6.08878192857096 6.11496739560794 6.15637332775338 6.16730692391115 6.19632282608784 6.12866276511856 6.0329110779186 6.12966933470841 6.21983341567194 6.11609907343688 6.19666184167009 6.123197991852 5.98343867189409 6.05958108774404 6.13451005761255 6.1466082920351 6.18510464660091
TTC39C 6.40360652648437 6.44915289921413 6.48747591346405 6.37589843879014 6.38818820931918 6.49002437979167 6.3719692411289 6.47282078289173 6.43895371691164 6.58072488168121 6.39842243497404 6.38191637449593 6.41316015840306 6.35350708829248 6.35705086952861 6.1968324012754 6.36911807502539 6.34646083737412 6.46460064898991 6.36557608677513
NEXN 5.88911629578075 5.90745329322001 5.86229157686761 5.87921590437366 5.86133750228183 5.93472083164803 5.91494640677134 5.85904277810779 5.92238366699842 5.9029401849962 5.89375045315722 5.90705438139953 5.95939580055241 5.93203047293537 5.85914702206972 5.95289120129223 5.97109213555138 5.95572139587903 5.8932298926757 5.94877117979816
C15orf40 6.30847181304943 6.44915289921413 6.36299340706507 6.37589843879014 6.31427329493436 6.50634908607878 6.39181240054529 6.55814709470086 6.64502038910566 6.7139099051614 6.49522932452623 7.16953000352544 6.7989209375432 6.73366067609761 6.85586486424391 6.78672453376997 6.93173386369605 6.81679721830629 6.92978388539887 6.93032041141709
RAX2 6.97406602927297 6.57045664109016 6.7708063914891 6.83875063607383 6.82072626633002 6.70329787674526 6.64427798381699 6.70256681252133 6.69646309055128 6.63212075920528 6.81575134251178 6.85178363816829 6.94066109270353 6.51776826986488 6.67348529353694 6.74692267470175 6.78156474892967 6.72201025140408 6.74628394658288 6.67540707811482
MFAP3 6.77494270373432 6.83542425967032 6.80709533883361 6.75441267733224 6.93611102189351 6.75885938530351 6.98198205631493 6.62558929822025 7.16668329786131 6.74536997246027 7.13905306356067 7.05544800274845 7.03564628636863 7.12876382155574 7.12005855855572 7.19439033486301 7.13534605111177 6.78197779997372 6.74628394658288 6.74348072883663
EYA3 6.55962735833343 6.69518806092182 6.65514257317257 6.54323884958246 6.50439749658638 6.61446842785311 6.8153627741118 6.73283169180787 6.6317344533942 6.73703872082117 6.4204134823725 6.49051221655753 6.3935797296588 6.50181707201747 6.48144416559079 6.68482559732329 6.50843552664889 6.74448575056267 6.70007025347878 6.75009953003237
GIMAP1 6.02703459705291 5.94270740515527 5.97358842932608 5.8879581230926 6.04397971439897 5.96042948604696 6.01057572887452 5.94865782402776 5.85039563968106 5.78708208704828 5.97474049038066 5.87251766094727 6.03050343336229 5.90873084542024 5.82216417553461 5.86625260101808 6.0392257915138 6.0077835357987 5.96701283355107 6.14170170980598
KLK8 6.43915513113318 6.30034949708739 6.20008263731597 6.36800099407788 6.12285268783216 6.25892980048713 6.43110713143819 6.27696145674047 6.164476625305 6.31260657132903 6.20453923178335 6.32323107846714 6.2816818108664 6.29103528100886 6.1653718191231 6.26917563395631 6.23553879939092 6.24422138695076 6.30505551687071 6.28560952050237
CCDC65 5.79405191624689 5.75071248934753 5.79237554836477 5.72023059686214 5.62199539823049 5.72962491463908 5.69636870768409 5.69602736784684 5.75656654694308 5.78708208704828 5.67750792945566 5.74091703745151 5.72322487408931 5.78518922234289 5.90091520151878 5.73677241948929 5.72494650202929 5.76789900631663 5.83169235844471 5.66822153496269
FAM122C 5.91472065034334 5.9968048084168 6.02581085198247 5.8879581230926 5.93590947592674 5.98318173765116 6.01034736150164 5.92489525965502 6.02051631859016 6.01045033545278 5.90425284921143 5.9756161386306 6.09808561670332 6.0460001219007 5.93825220427359 6.08323863922701 6.01747194640649 6.04409842490421 5.84519416414994 6.00914629107113
CCDC11 6.10797755247746 6.01451082906575 6.00265601075846 5.82914184478003 5.96206960140092 5.94786354103736 5.99183969056469 6.01669644446456 5.8991064623452 5.91384237382695 5.98941256158492 6.02879865896415 5.96603295775679 5.85785489022945 5.85997917202061 5.9185746883712 5.94944238680958 5.94539452826458 5.92220239158402 5.92800731484063
ARMCX4 6.18535515443207 6.13197116425123 6.2087747294161 6.1742633912707 6.11099976517425 6.13855664444865 6.03601791574352 6.03056055295739 6.04816627295186 6.06155873030548 5.97474049038066 6.13467832516977 5.98362322618948 6.08672508734607 6.19980835501287 6.0735345867831 6.05676897223029 6.16017334999036 6.20465653537732 6.1007632131979
RBBP6 6.76102458831602 6.76708141925165 6.94410700977117 6.85385977776511 6.99203405849981 6.70296833145328 6.88566691854775 7.05994988675666 6.76538378855483 6.82974908008864 6.979266472337 6.80168913060468 6.86881752455929 7.10078233617199 6.73792472640095 6.78297518972676 7.08630283447934 6.79867070032708 6.75744406754117 6.91721070933113
CENPBD1 6.33714393581736 6.25936394760911 6.28411479283295 6.03242927002634 6.25723471763747 6.20830991796794 6.25190211728268 6.24335976792457 6.55021613373342 6.57760201351511 6.49301522504029 6.557456238679 6.47204996710028 6.65180677323951 6.57419695685916 6.60211738287443 6.49084360750606 6.37099418233994 6.42727921240185 6.45389026279296
TRIOBP 6.83078638216816 6.61343898045446 6.8424938472247 6.99393707867458 6.7097911688093 6.93802713265689 6.72471132201435 6.72733954961279 6.57344615544905 6.47209099997795 6.60052697813041 6.76733153830787 6.7989209375432 6.67917382807861 6.77454341995329 6.8631781853566 6.82316268957146 6.94823430487252 6.77607887238652 6.8461290116303
CATSPER1 6.18535515443207 6.36780884669897 6.54590811544962 6.53603400889881 6.47555535684391 6.61572509632499 6.10975837922084 6.28535149852117 6.41867461658799 6.15822554984845 6.60052697813041 6.39448444326125 6.58002898368309 6.50215861358029 6.58084654607176 6.3640236461253 6.47729911600259 6.46827031150362 6.33046968292795 6.66139823842759
HOXD4 6.65631983174311 6.82327024428708 6.75850435904501 6.71031977818845 6.6806713410951 6.78585779115949 6.62763885181877 6.48739690590596 6.62745696426853 6.63212075920528 6.52610667388724 6.57094176202679 6.46527800502947 6.45428996937517 6.596705344406 6.57573218834608 6.51586329817071 6.5533201234147 6.5007398163422 6.64725203652707
GSC 6.18535515443207 6.20872605222063 6.09596866503332 6.10783570044971 6.17504418995429 6.13855664444865 6.15690467904279 6.1268044013619 6.15008786256382 6.24882011502683 6.18282979536129 6.02579280575258 6.18353597912049 6.12799229420922 6.17889101510007 6.00769496150564 6.15777122159493 6.19588217604448 6.18257812985505 6.12137766496637
SP7 5.97841474402571 5.89705049388027 6.11539288852192 6.13031982173213 5.99750506901619 6.00706514300796 6.20255892555944 5.99019030693994 5.90972105015623 6.03634496762873 6.08253358435909 5.85443669348095 5.98362322618948 5.97807719474668 6.04658762869113 5.91495716237163 5.96683871669193 5.90365925595935 5.99261789644636 6.05862903954829
PDE7A 6.32800724650175 6.15154609496064 6.29647799724497 6.37589843879014 6.35170406305993 6.35231716945981 6.31074770662102 6.63870750143766 6.35606879590876 6.33406040933221 6.58594686218117 6.26358702514666 6.49900580515464 6.40477839277684 6.30007425339661 6.34637533457392 6.38309271153266 6.34646083737412 6.38948760165701 6.29474227805631
CNOT7 9.13282167516206 9.4161800722288 9.12565851079302 9.07739968570788 8.89116026615961 9.3486286965053 9.24270940217753 9.29526254615331 9.40041529159088 9.4145479308401 9.24766852834319 9.34846067124437 9.17342994126161 9.39769461081631 9.10662923099789 9.13993510900661 9.144634844501 9.28941003717634 9.38703716151564 9.27020224819239
CRYZL1 7.11567706823409 7.61201463330825 7.45907022618383 7.31177456817451 7.51659018939523 7.63904296452278 7.58340748574283 7.54094190309948 7.71618161567349 7.52996616338283 7.62604863027525 7.58586389694866 7.21884835425147 7.43859804912208 7.37120770755822 7.0708735930891 7.52385093274775 7.56150893127065 7.63812966747948 7.4617868006643
PRSS33 6.25701997464396 6.50920026684741 6.37604368338484 6.52776298547154 6.30727386751253 6.3619341677268 6.38814572924428 6.31667283227336 6.38595799715923 6.49672588368965 6.41064443066286 6.30919068902504 6.46157909062188 6.17443898203324 6.37525148768792 6.51114507139876 6.44549036140016 6.38827180427042 6.29264496399467 6.46385401500704
C19orf26 6.56047869615585 6.35097482224792 6.45734768601775 6.48460541754082 6.4412407395403 6.33414147126244 6.31074770662102 6.19942852939619 6.31276944928702 6.43398260192289 6.39842243497404 6.4557331485106 6.26420698312651 6.31828512630004 6.37555377763672 6.48186304192431 6.38309271153266 6.31433081677774 6.289738975242 6.31277943053668
C8orf45 5.64592665396981 5.71114252310777 5.58076904215339 5.56382952857252 5.59068951285313 5.64247611383377 5.57751472201793 5.73799550139629 5.73576864893964 5.71977136388949 5.61886567029876 5.58413158115457 5.80639427951457 5.59106088702992 5.65014019974122 5.67713363222586 5.73874777239264 5.61802418024549 5.61650024148532 5.60633389150515
TIRAP 6.17960769743924 6.12098425546573 6.28637028726984 6.22733731950058 6.22235097738227 6.31466260289363 6.21025304292093 6.27402795488926 6.08258643423663 6.29953701891955 6.18845000574209 6.27834622983218 6.17921521486225 6.11350798586014 6.44632482545205 6.31810058999142 6.13499602589555 6.16687236904611 6.07638724484531 6.30155730431648
LEAP2 6.2482263815032 6.20872605222063 6.33011899947706 6.21690795850193 6.4412407395403 6.17985238959224 6.15690467904279 6.30193865630594 6.22206568479883 6.15822554984845 6.29464951846809 6.1643365376362 6.18353597912049 6.51776826986488 6.17889101510007 6.32850845981368 6.60202925708593 6.23072847572207 6.24782486852067 6.29474227805631
MSI2 6.26731267958915 6.1990761320858 6.26192850443134 6.24775429690608 6.18540997400731 6.43136248415624 6.16804151570901 6.28496556955058 6.26795215993289 6.20138565790473 6.25786182695173 6.39448444326125 6.14128525963115 6.2729835689647 6.29955382046299 6.34626605296949 6.32571023186148 6.40470764049757 6.35863593956418 6.40518642229677
SCIN 5.95347625211049 5.80115917027238 5.81631154248499 5.83418678456139 5.89980802698197 5.61386171030747 5.81868728145832 5.81636550468757 5.85039563968106 5.78708208704828 5.88230375582733 5.7210973215771 6.05338439082469 5.83588224105658 5.65046033496706 5.89081039669075 5.74672732292911 5.76789900631663 5.74395601015962 5.80193416512185
CTCFL 6.28866822003546 6.51107930433754 6.31339655061523 6.39459465319009 6.35170406305993 6.71739014314855 6.84474788705687 6.70256681252133 6.74613447437947 6.5631778294801 6.57121789292685 6.97405189052181 6.90336496569213 6.8492160670059 7.07548334471202 6.94753680518276 6.97850671487545 6.74629719415612 6.79074871966369 6.80848655533238
C4orf33 5.51606086692537 5.61629309969047 5.498973134723 5.56382952857252 5.46005627307213 5.55229963186638 5.56271093568194 5.61869160401151 5.54834331687007 5.52235591500623 5.40592885265386 5.55190105329615 5.40524410696508 5.65006955536263 5.58836329420219 5.59451584969418 5.61081888590755 5.64410963015025 5.74395601015962 5.45739458218035
ZNF333 6.35427985809995 6.56300013198501 6.50626166475465 6.51909402965382 6.50016456933358 6.39675259462878 6.51451043105841 6.45050410068121 6.38767355148912 6.41441141025274 6.40385050146335 6.41312039414855 6.35897185889752 6.45282893767452 6.36630232358267 6.38801214912602 6.55002777908886 6.4679747063972 6.33032992272061 6.45577354415559
FAM18B2 6.68690239782503 6.64139854039833 6.61576987848098 7.11161410304366 6.69530472363053 6.68906659899593 6.64427798381699 6.72733954961279 6.92930282145523 6.64885373713386 6.93559547000775 6.94870979355435 7.05844663244214 6.8492160670059 6.93284599701791 6.79975148922716 6.66057051324621 6.90573868083188 6.99457967385193 6.73012053864356
RDH10 8.22150649416543 8.38443622060425 8.307551763276 8.56338861160529 8.57536100645866 8.62235394539837 8.47779956234108 8.63695466421224 8.49696317945542 8.53365347927841 8.34130599556317 8.741076655975 8.5386624366352 8.60735028876049 8.72267865402493 8.70474325079095 8.74992458011321 8.47985956184164 8.24526183884331 8.4171540338586
SRSF12 6.47774570042346 6.54162313543561 6.56074888305504 6.4294547668279 6.54808107034874 6.67114143768138 6.75669468742592 6.63580572636517 6.57608233641414 6.72274656156407 6.48687218859051 6.66279363771959 6.51985257367223 6.5706241631303 6.51551191986773 6.59671301654902 6.50915541679388 6.58002190960527 6.70860392977621 6.65303998469462
FAM71A 6.57690091516589 6.68234743124168 6.5023073267621 6.68015759273572 6.47555535684391 6.50634908607878 6.59377356926378 6.62558929822025 6.60967708570474 6.5092186367317 6.61496121934095 6.86989784930957 6.58002898368309 6.60803748537634 6.49882726467152 6.64954511631939 6.43767572125398 6.64659550620063 6.68478204046155 6.43309427737134
GAPT 5.51606086692537 5.64419756946897 5.5850873378986 5.56382952857252 5.71109549987244 5.72962491463908 5.63108704654817 5.5086734266003 5.69044249953131 5.75652847877772 5.64973685293828 5.57416794561051 5.75148408936806 5.70564496164831 5.55628287127816 5.62411145431624 5.56251396689034 5.64410963015025 5.58471790084082 5.58161017146058
FLJ30901 6.67169214958983 6.54107342399138 6.5023073267621 6.43127555719836 6.55793250187678 6.60059853444535 6.85907384308573 6.53026197059013 6.47867630033288 6.54541472958735 6.61496121934095 6.69804872727352 6.43074280076099 6.57857088131259 6.39382238623258 6.57573218834608 6.9599791408596 6.73420482888118 6.66898799412649 6.70302316323104
C8orf47 7.12368812925147 7.34510087821466 7.04209858697404 7.06645842167228 7.31282567047659 7.30606046939853 7.26204027140155 7.27097607905088 7.63366776142829 7.68398010443413 7.54006790517718 7.67863180068146 7.47105022442475 7.66655765068032 7.732155719671 7.78980517739957 7.87289106636533 7.57355963717221 7.59337305877386 7.52793207154433
C1orf65 6.18535515443207 6.15154609496064 6.15347395302186 6.10783570044971 6.13266533893371 6.21999892175646 6.26844069361259 6.03056055295739 6.04816627295186 6.11070161106035 6.06160965302928 6.27722429971781 6.20413054417087 5.90873084542024 6.11425538570851 6.23569624888228 6.35500675009383 6.17813823913714 6.18257812985505 6.29474227805631
ENTHD1 5.65173208850872 5.61629309969047 5.52796149981345 5.5471181245714 5.51047965621741 5.55092743880389 5.69495547953804 5.65782005459682 5.70716290832261 5.69304802862689 5.71812530491661 5.54059308054676 5.58864084538684 5.54533600327726 5.68022746121972 5.48578156675521 5.61680453513907 5.53654392075456 5.63353563615276 5.50515208227491
TSSK3 6.68871467327071 6.76006196698341 6.81802613608207 6.86855562811649 6.89227426091779 6.67916502321295 6.84032959121187 6.69211486615425 6.80257653707758 6.78812571571433 6.81233696242202 6.80977903825088 6.74436497514492 6.80965854557774 6.78712659718074 6.76764546818922 6.81164103774985 6.70880642498242 6.71894744130909 6.81494229191394
WFDC6 6.11961877323904 5.98696365911318 6.2444983235066 6.10783570044971 6.08900386920024 5.98393574166115 6.22485546860147 6.05032981496087 5.96670302960383 6.06155873030548 6.12349249338088 5.95967206931812 6.11992735171206 5.9553301004505 5.99964565787477 6.05192018141654 6.22138003425724 6.1235582132018 6.1142402696443 6.03709134199568
CLEC12A 5.79405191624689 5.87366852710908 5.81631154248499 5.98983801251034 5.94948335768463 5.86237652028809 5.93144103360169 6.03056055295739 5.85039563968106 5.90320989439991 5.92926230819041 5.85443669348095 6.0072537382996 5.88485436520037 5.87513954605754 6.02997702464229 5.74672732292911 5.66973180756394 5.9143977186267 5.85213205285992
